nctid,description,label
NCT03208517,"The National Institute for Health Research (NIHR) funded Well-being and Health for People with Dementia (WHELD) programme, An Optimized Person Centred Intervention to Improve Quality of Life for People with Dementia Living in Care Homes. This optimized intervention is based on a factorial study and qualitative evaluation, to combine: training on person-centred care, promoting person-centred activities and interactions, and providing care home staff and general practitioners with updated knowledge regarding optimal use of psychotropic medications for persons with dementia in care homes. Using a train-the-trainer model, the intervention was delivered by trained therapists, who trained 2 lead care staff members (WHELD champions) within each care home to implement the intervention over a 9-month period.||The primary objective of this study involving 24 care homes, with approximately 240 care staff, is to determine whether an online version of the optimized WHELD intervention, with or without supervision support, confers significant benefit in terms of improving attitudes of care staff caring for people with dementia and quality of care of residents with dementia living in care homes.||There is considerable interest in e-learning and dementia. Significant investment has been made into the production of resources for care staff but to date there appears to be no, or very limited, evaluation of the effectiveness of e-learning in either raising awareness amongst care staff, or increasing outcomes of care for people with dementia. In spite of the lack of evidence, e-learning remains popular with care home providers and managers, as they are perceived to be low-cost, can be delivered to staff on-site or even at home, and with minimal disruption to staffing routines and schedules.||The e-learning programme is based on the aforementioned WHELD RCT programme, which included over 80 care homes and 1000 participants in the study, and has already shown significant benefits in improvements in quality of life and agitation. This study will provide pilot testing to evaluate the effectiveness of an e-learning version.||Key secondary objectives will be to determine the specific impact of the e-learning intervention on a range of outcomes including quality of care, quality of the interaction of care staff with people with dementia, person-centered practice, staff knowledge about dementia and staff general health, work stress and experience working with residents with dementia.||The investigators hypothesize that the intervention (in particular with supervision support) will significantly improve several key outcomes. Specifically, the investigators hypothesize that, compared to enhanced usual training, the optimized e-learning intervention will:||• Improve staff attitudes towards people with dementia||The secondary hypotheses are that the WHELD e-learning intervention will:||Improve quality of care|Improve quality of interactions between staff and residents|Improve person-centred practice|Increase staff knowledge about dementia|Improve staff general health|Reduce staff work stress|Improve satisfaction in caring for people with dementia||Baseline, post intervention and 4-month follow up data will be collected on all consented participants who meet the inclusion criteria at each participating care home.",Dementia
NCT02552563,"Dementia care guidelines and pharmacological and non-pharmacological treatments have been shown to reduce symptom burden and rates of institutionalization for individuals with dementia. However, there remain a variety of factors that complicate dementia care management in primary care settings. Patient-centered, integrated care management programs that involve caregiver (CG) education and psychosocial support may help facilitate access to and use of services and improve outcomes. The aims of this pilot were to examine 1) whether, relative to usual care (UC), a dementia care management program is associated with improved CG (e.g., mastery, burden, affect) and patient (e.g., behavioral symptoms) outcomes, 2) if, relative to UC, participants enrolled in the program have greater perceived access to and use of medical, social, and community/VA services, and 3) whether the dementia care management program is feasible and acceptable to participants.",Dementia
NCT03001232,"Background:||In the Netherlands, an estimated number of 70.000 patients with dementia are institutionalized. This number is expected to increase rapidly in the coming years due to the aging population. Loss of independence in activities of daily living (ADL) is an important predictor for institutionalization and an important determinant for the quality of life. Once institutionalized, independence in ADL tends to decline even more rapid.This rapid decline may be due to insufficient stimulation of the patients' remaining abilities. Underestimating the patient's abilities may contribute to the inactive lifestyle in nursing homes. An inactive lifestyle negatively affects multiple disease outcomes. In the present study, movement-oriented dementia care (MDC) is implemented on psychogeriatric wards of a Dutch nursing home. MDC focuses on the integration of physical activity in the daily lives of nursing home residents with dementia. The key element of MDC is the multidisciplinary approach to ensure physical stimulation at all times. The following disciplines are involved in MDC: nursing staff, department heads, paramedics (physiotherapists and occupational therapists), psychologists, geriatrics specialists, activity leaders, volunteers and family caregivers. The primary aim is to evaluate the effect of MDC on ADL independence and quality of life. Additionally, the effect on mood, behaviour, cognition, and physical fitness is investigated.||The present study was a non-randomized 12-month longitudinal study with two parallel groups. The study was approved by the Medical Ethical Exam Committee (METc) of the VUmc.||Participants were residents from five psychogeriatric wards of two locations of nursing home Solis in Deventer. All participants were diagnosed with dementia.||Recruitment: In the first place, the staff of Nursing home Solis was informed about the intervention. Consequently, an initial selection of suitable clients took place. Clients receiving palliative care did not participate in the study. Suitable clients and their caregivers were informed about the study by means of an informative presentation as well as an informative letter in which clients and their caregivers were asked to give informed consent.||Randomisation:Two locations of nursing home Solis were non-randomly allocated to the experimental or control condition. Participants living at the experimental location received movement-oriented dementia care (MDC), while participants living at the control location received care as usual.||Procedure: Movement-oriented Dementia Care was given to as many residents as possible from the psychogeriatric wards of the intervention location. In order to properly implement movement-oriented care, nursing staff, activity leaders and living room staff were offered a schooling aimed at increasing awareness of the importance of movement, as well as providing tools for stimulating movement in elderly with dementia. Caregivers and volunteers received information about movement during an information meeting. The execution of the movement-oriented care differed per discipline. Nursing staff continuously encouraged clients to function as independently as possible. This regards activities such as getting dressed, preparing meals, pouring coffee, and toilet use. Paramedics coached the nursing staff by specifying medical and physical limits of each participant. Additionally, they gave advice on how to handle specific situations. They also informed and coached caregivers on how to safely stimulate movement with clients. Based on these advises, a plan was created for each resident to determine the daily routines that they are capable of performing, as well as how to stimulate the participants to engage in physical activities. Activity leaders were informed on how to include movement interventions in their activities. In addition, activity leaders constructed a leisure-care calendar focusing on general activities based on personal preferences and potentials. Family caregivers and volunteers were encouraged to stimulate physical activity of the patients in general.||Nursing staff were trained by an expert in MDC (three sessions of three hours), in order to increase awareness of the importance of physical activity, as well as the role of physical activity in ADL. Additionally, paramedics received a two-hour meeting informing them on their role in advising nursing staff. Volunteers and family caregivers were informed about the benefits of an active lifestyle during several open meetings.||The outcome variables were measured 5 times, i.e. at baseline and after 3, 6, 9, and 12 months of the intervention. Trained physiotherapists performed the measurements with participants, while nursing staff and caregivers were asked to fill in questionnaires. The test battery administered by the clients had a maximum duration of 30 to 45 minutes, in which the client was free to take breaks.||To ensure compliance to the intervention, one staff member at each psychogeriatric ward became an 'ambassador' of MDC, responsible for implementation at their ward. Process evaluations were administered for nursing staff and caregivers every three months to measure the extent of implementation. These process evaluations consisted of structured interviews and questionnaires. Questionnaires were completed by nursing staff and family caregivers every three months. Structured interviews were conducted with members of a multidisciplinary focus group after three and nine months. The focus group consisted of 12 professionals; nurses, activity leaders, heads of the departments, 'ambassadors', a physiotherapist and an occupational therapist. The process evaluations focused on the following elements:||To which extent did staff and family carers prepare to provide MDC?|Which aspects of MDC are applied?|Is MDC applied according to its core principles?|To what extent are participants stimulated to be physically active?|Are the staff and family carers satisfied with the execution of MDC?|What barriers are experienced?||The following demographic data was registered per participant: subtype dementia, birth year (age), sex, education, severity of dementia, comorbidities, cardiovascular risk factors and medication use.||The severity of dementia was determined using the Mini Mental State Examination (MMSE). The scores ranged from 0 (severe cognitive impairment) to 30 (no cognitive impairment). The recommended cut-off point of 24 was applied, with a score of 23 or lower indicating dementia.||Comorbidities were derived from the medical charts of the participants and were categorized according to the Dutch translation of the Long-Term Care Facility Resident Assessment Instrument (RAI), section I disease diagnosis. The section consists of 44 subcategories that belong to eight categories. The sum of the subcategories was used as a comorbidity score. Information regarding cardiovascular risk factors was derived from the medical charts of the participants.",Dementia
NCT03160027,"Photobiomodulation (PBM) describes a kind of light therapy that uses red or near-infrared light to stimulate, heal, regenerate, and protect tissue that has either been injured, is degenerating, or else is at risk of dying. Human cadaver studies have shown near-infrared wavelengths can penetrate 40-50 mm through the scalp and skull. Saltmarche et al. (2017) recently reported that 12-weeks of transcranial treatment with a commercially available PBM device (i.e., the Vielight ""Neuro "") benefits cognitive function in patients with mild-to-moderately severe dementia. Specifically, Saltmarche et al. reported improvements on the Mini Mental State Examination (MMSE, p< 0.003) and Alzheimer's Disease Assessment Scale-cognitive subscale (ADAS-cog, p< 0.03) in 5 dementia patients after 12-weeks of PBM treatment.||The first aim of this trial is to replicate Saltmarche et al' s findings that the effects of 12-weeks of PBM treatment can improve cognitive function in older adults with dementia. Because the Vielight Neuro device targets nodes of the default mode network (DMN), which is dysregulated in Alzheimer's disease (AD), the second aim of this pilot study is to investigate whether 12 weeks of PBM therapy with the Vielight Neuro device improves DMN connectivity in older adults with dementia. Finally, because there is suggestive evidence that PBM therapy enhances blood flow, the third aim of the trial is to examine whether 12-weeks of PBM therapy improves cerebral blood flow (CBF) in older adults with dementia. The trial will also explore the effects of PBM treatment on quality of life in older adults with dementia and on caregiver burden.||Ten older adults with dementia (i.e., the primary study participants, PP) and their caregivers (CG) will be enrolled in a randomized, wait-list control trial. Five PPs will be randomized to the ""immediate"" PBM treatment group after the baseline psychometric and MRI assessments. Five PP will be randomized to a ""delayed"" PBM treatment group that will not receive PBM treatment with the Vielight Neuro device until after the 12 week psychometric and MRI assessments.||Neuroimaging measures will be assessed in all PPs at baseline and week 12. Cognitive function and quality of life will be assessed in all PPs at baseline, weeks 6 and 12. Caregivers (CGs) will be asked to fill out questionnaires Caregivers (CGs) will be asked to fill out questionnaires about caregiver burden, positive aspects of care giving, depressive symptomology, and dementia-related behaviors in the PP at baseline, weeks 6 and 12.||PPs randomized to the ""immediate"" PBM treatment group will receive PBM with the Vielight Neuro device once a day, every other day (e.g., Mon, Wed, Fri) for 12 weeks. PPs randomized to the ""delayed"" PBM treatment group will keep doing their usual activities for 12 weeks. After the 12 week psychometric and MRI assessments, PPs randomized to the ""delayed"" PBM treatment group will receive PBM with the Vielight Neuro device once a day, every other day (e.g., Mon, Wed, Fri) for 12 weeks. PPs randomized to the ""delayed"" PBM treatment group will undergo additional psychometric assessment at weeks 18 and 24. CGs of PPs randomized to the ""delayed"" PBM treatment group will be asked to fill out additional questionnaires about caregiver burden, positive aspects of care giving, depressive symptomology, and dementia-related behaviors in the PP at baseline, weeks 18 and 24.",Dementia
NCT01113749,"This research study is a cluster randomized controlled trial of a decision aid to improve decision-making about feeding options for patients with advanced dementia. Surrogate decision-makers in the nursing homes randomized to the intervention will review the decision aid and be prompted to discuss it with the primary health care provider, while those in the control sites receive usual care. We measure the immediate, 1 and 3 month effects of the decision aid on the quality of surrogate decision-making for nursing home residents with advanced dementia.",Dementia
NCT01855152,"The main objective of this current study is to determine whether the optimised WHELD intervention, will significantly improve quality of life for people with dementia in comparison to the usual care provided in care homes.||Key secondary objectives will be to determine the specific impact of the optimised WHELD intervention on a range of outcomes including mental health and unmet needs, physical health and use of psychotropic drugs, staff attitudes and the quality of the interaction of care staff with people with dementia, person centred environment in care home settings and overall provide a cost-effective, simple and practical intervention.||We hypothesise that the intervention will significantly improve several key outcomes. Specifically we hypothesise that, compared to treatment as usual the optimised WHELD intervention will:||• Improve quality of life for people with dementia living in nursing homes||The secondary hypotheses are that the optimized WHELD intervention will:||Reduce agitation, other behavioural and neuropsychiatric symptoms|Reduce the use of antipsychotic and other psychotropic drugs use|Reduce unmet needs|Reduce mortality|Improve mood and depression|Improve the quality of interactions between staff and residents|Provide person centred environment in care home settings|Provide a cost-effective intervention||The study design is a cluster randomised controlled, 2 arms trial to be run in 80 care homes, including 960 - 1280 participants.||Each cluster in the optimised WHELD intervention arm will receive the optimised WHELD intervention for 9 months.||Evaluations will be undertaken to understand the breadth of benefits conferred by the intervention to be assessed when used in comparison with the progress of the participants residing in the care homes allocated to the TAU trial arm. Baseline and follow up data will be collected on all consented residents who meet the inclusion criteria at each participating care home.",Dementia
NCT04334200,"A quasi-experimental study will be performed to assess the effectiveness and benefits of a culturally tailored support group programs for Chinese dementia caregivers. The PhD candidate will contact three non-governmental organizations (NGO), including Rotary Club that provides dementia services to dementia persons or their caregivers in the elderly centres. The caregivers will be recruited as participants through these centres.||A quasi-experimental, non-equivalent pre-test-post-test control group design will be used to determine the effectiveness of a culturally tailored support group program. A non-equivalent control group design was used because caregivers from the same centre would have known each other. If caregivers in each elderly centre were randomly assigned to experimental and control groups, there may have been a chance that caregivers in the experimental group would discuss the intervention with caregivers in the control group. Also, the caregivers in the control group may think it was unfair that they do not have a chance to have the culturally tailored support group programs. Hence, a quasi-experimental design will be implemented and the experimental and control groups will be from different elderly centres.||The participants should be the family members who care for a relative with dementia at home. The eligibility criteria include:||Chinese;|aged > 18 years;|the ability to communicate in Chinese / Cantonese; and|voluntary participation. The exclusion criteria include those currently suffering from a psychiatric illness with/without regular follow-up or treatment.",Dementia
NCT01183351,"Intervention description:||Initially the intervention group will receive education about dementia, BPSD, quality of care and use of psychotropic drugs Subsequently, staff in the nursing home will receive training in the intervention method: MID. Two or three nurses from each nursing home will receive more intensive training in the method to ensure effective implementation of the method in daily practice. After this initial period that will last for four weeks, trained research nurses will visit each nursing home every fortnight ensuring that the intervention is properly implemented and thereby assure adherence to the treatment protocol.||Description of the intervention Multidisciplinary Intervention model for challenging behaviour in Dementia, MID, consists of three stages: a registration-observation stage, a staff guiding stage, and an evaluation stage.||Registration-observation stage:||The nurses use a daily registration sheet for the actual types of behaviour that are challenging. This ensures that the behaviour is properly observed on a daily basis.||The next step in the registration-observation stage is:||Collection of the medical history by the nursing home nurses|Standard physical examination by the nursing home physician|Critical review of medication by the nursing home physician|Pain assessment (clinical), by the nursing home physician|Assessment of the type and degree of dementia by the nursing home physician|Assembly of the patients personal history by the nursing homes nurses After completion of the registration-observation stage (lasting 1 day up to 4 weeks) the staff guiding stage starts.||Staff guiding stage - guiding meeting The trained nurses from the nursing home set a meeting for 1-1,5 hours for the nursing home health workers. The meeting is lead by the nursing home nurses and the nursing home physician.||The meeting follows a structured agenda and is conducted following the principles of problem solving in cognitive behavioural therapy taking into account one type of challenging behaviour at a time. Results from the registration-observation stage are presented at the beginning of the meeting. (A 5-column sheet, based on classical cognitive change thoughts records, is used to structure problem solving during the meeting: 1.facts, 2.interpretations (thoughts), 3.feelings, 4. solutions/actions and 5. evaluation)||Evaluation stage This stage starts just after the guiding meeting and is conducted by the nursing home nurses. The nurses continue the same registration of the behaviour on a daily basis as in the registration-observation stage for the next 4 weeks.",Dementia
NCT04443621,"A. Introduction to project, current state of art As the population ages, an increasing number of people will be diagnosed with dementia. At present, there are some 47 million people living with dementia worldwide. In Czech Republic, there are about 156,000 people suffering from dementia. Regional estimates of dementia prevalence in people aged 60 years and over now range from 4.6% in Central Europe to 8.7% in North Africa and the Middle East. It is estimated up to 131 million people with dementia will live in the world by 2050. Thus, there is a need of sensitive and specific cognitive assessment tools to detect cognitive impairment. It enables to provide timely intervention to delay the disease progression, prolong independence, and enhance the quality of life (QoL) and personal dignity of the individual with dementia.||Dementia is neurodegenerative disease characterized by progressive, irreversible and still incurable cognitive decline. People suffering from dementia retain their positive personality traits and character. However, as the illness progresses, symptoms such as memory loss, speech impairment, disorientation, difficulties with activities of daily living, and self-neglect are common. This leads to a significant interference with everyday social and work activities and has a negative impact on subjective perception of dignity. At present, the Mini Mental State Examination (MMSE) is used in the Czech Republic to diagnose dementia. Due to copyright issues with the MMSE (similar to the Montreal Cognitive Assessment [MoCA] questionnaire), there is a need for another valid tool to be free available in the country. Currently, the most frequently used tool in the world is the Addenbrooke's Cognitive Examination III (ACE-III), which is composed of five domains: orientation and attention; memory; fluency; language, and visuospatial function. The ACE-III-J is a sensitive and specific screening test to diagnose dementia, and it was better than the MMSE in accuracy for identifying dementia.||Dignity is described as an integral part of QoL. Similarly to QoL, dignity can also be understood as a multidimensional concept including: dignity of identity (self-worth/worthiness, integrity, trust); dignity as a human right (equality, freedom of choice); and dignity as expression of autonomy (independence, control. There are three main dimensions essential for constituting dignity: A historical dignity-dimension, acknowledging one's own life projects and history; an intrapersonal dignity-dimension, recognizing one's own human worth, and living according to individual values; and an interpersonal dignity-dimension, experiencing being part of a caring and confirming society.||Jacobson (2007) says that dignity exists in two complementary, yet disparate forms. It is understood as a dualistic concept incorporating absolute and relative dignity, objective and subjective dignity, and personal and social dignity. Personal dignity is a type of dignity that is subjectively perceived by an individual and is linked to a sense of worthiness. However, personal dignity is also contingent and contextual, and can be influenced both by an internal aspect, which is the worth and self-respect one ascribes to oneself, as well as by an external aspect, which is the worth and value ascribed to the individual by others.||Patients with a severe chronic disease (such as neurodegenerative) experience existential concerns related to changes in the self because of the disease, as well as the social consequences of the disease (e.g. embarrassment, role changes, loss of independence, and stigmatization), which can severely affect the sense of personal dignity.||Older adults with dementia (OAwD) are often experiencing an ongoing loss of personal dignity, value and security, and experiencing cognitive decline can be a threat towards self-respect and the sense of dignity. The key element of the dementia experience is the effort to preserve one's identity or sense of self and to preserve a meaningful life. Multiple personal losses and changes such as increased dependency, loss of autonomy and gradual loss of abilities or competencies can have a negative impact on the sense of self and the self-esteem of dementia sufferers. Thus, OAwD are in risk of personal dignity loss due to both impact of the disease on their identity and self-esteem, and indirectly through negative social interactions and experiences. Before entering the stage of severe dementia individuals are aware of the progressive decline in their abilities and actively try to cope with this decline. A sound sense of personal dignity is essential to the individual's overall experience of well-being and his/her QoL. Investigation of the factors that maintain and strengthen personal dignity needs to incorporate data collected from those afflicted. However, research how having dementia may impact personal dignity into person's subjective experience of mild to moderate dementia is only very recent.||Pilot data The proposed grant project builds on results of a previous project Trajectories of quality of life by the elderly in in early-stage dementia (No. 16-28628A). The findings of the project confirm that OAwD assess their QoL better when they have a greater sense of personal dignity. The validated Czech version of Patient Dignity Inventory (PDI-CZ) created and tested in our project No. 16-28628A will be used in the proposed project.||B. Project objectives, project timeline and description of methods and approaches To define the factors that pose a threat to personal dignity gives an opportunity for a deeper understanding of these issues. This can subsequently assist healthcare staff with choosing the optimum interventions supporting QoL amongst OAwD. The proposed project responds to a society-wide need to identify and solve psychosocial needs of an ageing population with emphasis on neurodegenerative diseases.||The objective of the project is to investigate the changes in the perception of personal dignity of OAwD. The opportunity to define risk factors threatening personal dignity over the course of dementia will contribute to a deeper understanding of patients' needs. This will help healthcare workers choose the optimum psychosocial interventions in accordance with Evidence Based Practice and thus protect dignity of OAwD as a major component of QoL. This may have a positive effect on the psycho-social dimension of QoL amongst OAwD and may lower the frequency and length of hospitalizations as well as save costs on healthcare and social services.||The main aim is to ascertain how the subjective perception of personal dignity in OAwD changes throughout the course of this disease (trajectory of personal dignity perception) and which factors affect it. Because different types of dementia might have different perceptions of personal dignity related to specific disturbances of cognitive domains, post-hoc subgroup analysis in different forms of dementia will be performed. For the assessment of cognition and diagnosis of dementia, the Addenbrooke's Cognitive Examination III (ACE-III), POBAV, and ALBA questionnaires will be used. For this reason, we need to create and validate a Czech version of the ACE-III as the first stage of the project.||In order to achieve the main aim, five sub-aims were identified which should make it possible to ascertain subjective perception of personal dignity and factors which affect in amongst OAwD:||to create a Czech version of the ACE-III and to conduct a psychometric validation;|to ascertain how the assessment of personal dignity changes over the course of 2 years;|to identify sociodemographic and clinical factors perceived as a threat to dignity;|post-hoc subgroup analysis of results among the different types of dementia;|to define the differences in the perception of personal dignity among OAwD when using quantitative (PDI-CZ) and qualitative (in-depth interview) methods.||C. Methodology In order to reach the set aims, a mixed methods research design (quantitative survey first follow by qualitative interview) will be used to carry out a longitudinal, prospective study.||In the quantitative phase of the project using a battery of standardized questionnaires (3 stages). Research nurse gave QAwD the questionnaires and explained how to complete them. The questionnaires will be completed on project enrolment and then two more times at a 12-month interval.||In the qualitative phase of the research, individual in-depth interviews with OAwD on the topic of dignity (two interviews with each respondent at a 12-month interval) will be conducted, recorded, and transcribed with a subsequent interpretative phenomenological analysis. Two psychologists will be undertaking the interviews, in order to ensure that the interviews are conducted in the most sensitive manner. Informed consent will be secured before each interview. This will be carried out throughout project lifetime.||Questionnaire battery will be included: Addenbrooke's Cognitive Examination III (ACE-III), Amnesia Light and Brief Assessment (ALBA), POBAV, Patient Dignity Inventory (PDI-CZ), Bristol Activities of Daily Living Scale (BADLS-CZ), Geriatric Depression Scale (GDS), and a batch of socio-demographic and clinical characteristics (including age, sex, level of education, living arrangement, social life, frequency of social visits, telephone contact with relatives/friends, and the daytime spent alone, illnesses, medication, etc).||Sample The sample will consist of community-dwelling (i.e., living at home) older adults. They will be addressed together with their family caregivers in neurologic and geriatric outpatient offices.||Sample size:||First sample (quantitative research) will comprise of 500 respondents (310 OAwD for the longitudinal, three-stage study and 190 older adults for the validation study ACE-III).||Second sample (qualitative research) - after evaluating the 1st stage of the quantitative research, we will select 10 OAwD from the sample group with high level (average scale more than 3) and 10 OAwD who have low level of dignity to understand the different perspectives of perception of personal dignity. The exact number of respondents will depend on the thematic saturation in the course of interviewing.||Data from the quantitative research (validation study, and longitudinal study) will be gathered using a questionnaire from 310 OAwD (longitudinal study) and 190 older adults (half with dementia and half without dementia; validation study ACE-III) in neurologic and geriatric outpatients' departments in four regions of the Czech Republic. All data will be inserted into CASTOR database, from which they will be exported for statistical processing.||Data from the qualitative phase will be gathered using in-depth interviews with 20 OAwD. These respondents we will select after evaluation the 1st stage of the quantitative research (10 OAwD with high and 10 OAwD with low levels of dignity to understand the different perspectives in perception of personal dignity). An interpretative phenomenological analysis (IPA) will be applied. The IPA is an approach of a qualitative research, which is used to examine how people make sense of their major life experiences. The method is often used to study patients' lived experience. The data will be coded in NVivo 12 software for analysis. To assure reliability of the analysis, two researchers will code the interviews independently and they will confront their results for similarities and differences.",Dementia
NCT04179721,"We will evaluate whether dementia care training improves the perceived ability of PES staff (intervention) and nurse assistant staff (control) to care for hospitalized persons with ADRD. We will use survey methodology in a repeated measures design to evaluate within and between-group differences in attitudes, experience, and satisfaction toward managing patients with ADRD. Measures will be completed at baseline (T1), immediately following training (T2), and at end of the intervention period (T3). This study will utilize a repeated measures design to capture the impact of dementia care training on the experience of PES (intervention unit) and NA (control unit) staff to care for patients with dementia. Measures will be completed at baseline, prior to dementia training (T1: baseline), immediately after completion of the training program (T2: 3 months post-baseline) and following the completion of the 1-year intervention period (T3: 12 months post-training).||A 3 month dementia training program will be implemented on both the intervention and control units. On the intervention unit, training will target the PES and on the control to the nurse assistants. The 3 month dementia training program is based on the John A. Hartford Institute for Geriatric Nursing and the National Alzheimer Association publications Try This: Best Practices in Nursing Care for Persons with Dementia, ""ACT"" on Alzheimers guide to dementia friendly hospitals, and the Person-Centred Care Training Programme for Acute Hospitals (PCTAH), the research team will provide PES staff with weekly 20 minute sessions. The sessions will consists of the following topics: types and impact of dementia, providing person-centered care, identification of and meeting peoples emotional and physical needs, effective communication, connecting to the family caregiver (FCG), the impact of the physical environment, and redefining and supporting behaviors staff may describe as challenging. In order to ensure all staff get the training, sessions will be repeated 3 times per week during change of shift.",Dementia
